,code,원정팀,홈팀,A,B,승리팀,승리팀구분,date,week,평균기온,일강수량,풍속,습도,경기장,지점명,year
180,20210509NK,NC,KT,5.0,9.0,KT,Home,20210509,일,14.3,0.0,2.9,62.8,수원케이티위즈파크,수원,2021
181,20210509NK,NC,KT,5.0,9.0,KT,Home,20210509,일,14.3,0.0,2.9,62.8,수원케이티위즈파크,수원,2021
182,20210509두기,두산,기아,9.0,0.0,두산,Away,20210509,일,17.5,0.0,1.0,43.8,광주-기아 챔피언스 필드,광주,2021
183,20210509두기,두산,기아,9.0,0.0,두산,Away,20210509,일,17.5,0.0,1.0,43.8,광주-기아 챔피언스 필드,광주,2021
184,20210511키두,키움,두산,2.0,3.0,두산,Home,20210511,화,18.5,0.0,2.7,48.9,서울 잠실 야구장,서울,2021
185,20210511S롯,SK,롯데,7.0,6.0,SK,Away,20210511,화,16.4,0.0,3.4,55.0,부산 사직 야구장,부산,2021
186,20210511삼K,삼성,KT,6.0,9.0,KT,Home,20210511,화,18.2,0.0,3.0,53.8,수원케이티위즈파크,수원,2021
187,20210511L기,LG,기아,1.0,7.0,기아,Home,20210511,화,19.4,0.0,1.6,55.8,광주-기아 챔피언스 필드,광주,2021
188,20210511N한,NC,한화,7.0,2.0,NC,Away,20210511,화,15.8,2.9,3.5,70.1,대전 한화생명 이글스파크,대전,2021
189,20210512키두,키움,두산,3.0,0.0,키움,Away,20210512,수,22.0,0.0,2.2,39.5,서울 잠실 야구장,서울,2021
190,20210512S롯,SK,롯데,9.0,2.0,SK,Away,20210512,수,18.5,0.0,3.2,58.0,부산 사직 야구장,부산,2021
191,20210512삼K,삼성,KT,7.0,5.0,삼성,Away,20210512,수,20.5,0.0,2.2,44.5,수원케이티위즈파크,수원,2021
192,20210512L기,LG,기아,3.0,5.0,기아,Home,20210512,수,22.2,0.0,1.9,48.5,광주-기아 챔피언스 필드,광주,2021
193,20210512N한,NC,한화,6.0,3.0,NC,Away,20210512,수,20.1,0.0,2.5,50.6,대전 한화생명 이글스파크,대전,2021
194,20210513키두,키움,두산,14.0,13.0,키움,Away,20210513,목,22.9,0.0,1.9,54.4,서울 잠실 야구장,서울,2021
195,20210513S롯,SK,롯데,4.0,5.0,롯데,Home,20210513,목,19.7,0.0,2.3,62.1,부산 사직 야구장,부산,2021
196,20210513삼K,삼성,KT,4.0,0.0,삼성,Away,20210513,목,20.9,0.0,1.4,66.9,수원케이티위즈파크,수원,2021
197,20210513L기,LG,기아,8.0,3.0,LG,Away,20210513,목,22.5,0.0,1.2,62.8,광주-기아 챔피언스 필드,광주,2021
198,20210513N한,NC,한화,4.0,2.0,NC,Away,20210513,목,22.3,0.0,1.0,61.9,대전 한화생명 이글스파크,대전,2021
199,20210514삼L,삼성,LG,3.0,4.0,LG,Home,20210514,금,24.1,0.0,1.7,60.3,서울 잠실 야구장,서울,2021
