Rank,Name,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,Season,Position
32,최정용,38,59,58,56,5,11,1,0,1,15,5,0,0,2,0,0,15,0,1,0,0.196,0.224,0.268,0.492,-0.110,20.3,20,2B
33,박찬호,141,531,519,480,63,107,16,0,3,132,36,15,8,36,0,0,87,14,12,3,0.223,0.276,0.275,0.551,-0.082,41.6,20,SS
34,장영석,11,37,37,31,1,4,0,0,0,4,2,0,0,4,1,0,7,3,0,1,0.129,0.243,0.129,0.372,-0.143,-5.8,20,3B
35,김태진,45,192,191,180,18,44,4,0,0,48,17,5,2,9,1,0,23,2,1,1,0.244,0.283,0.267,0.550,-0.090,34.9,20,3B
1,최원준,143,668,664,589,82,174,21,6,4,219,44,40,13,61,11,0,68,7,4,3,0.295,0.370,0.372,0.742,0.008,110.0,21,CF
2,김선빈,130,564,561,501,55,154,32,0,5,201,67,0,0,56,1,2,39,19,1,5,0.307,0.375,0.401,0.776,0.015,115.8,21,2B
3,류지혁,92,327,324,273,37,76,8,0,2,90,34,0,0,42,7,1,46,7,2,3,0.278,0.385,0.330,0.715,0.003,105.7,21,3B
4,박찬호,131,483,475,418,51,103,15,5,1,131,59,9,4,54,0,0,73,11,8,3,0.246,0.331,0.313,0.644,-0.030,79.4,21,SS
5,김민식,100,301,298,250,30,55,8,0,3,72,26,0,0,41,4,1,49,2,3,3,0.220,0.336,0.288,0.624,-0.032,77.3,21,C
6,최형우,104,446,439,373,52,87,15,1,12,140,55,0,0,67,4,10,67,9,0,2,0.233,0.354,0.375,0.729,0.010,111.1,21,LF
7,한승택,82,239,234,203,17,44,7,0,3,60,16,0,0,28,3,0,61,6,5,0,0.217,0.321,0.296,0.617,-0.042,69.9,21,C
8,김호령,62,154,152,130,16,27,2,0,4,41,15,4,1,16,6,0,44,2,2,0,0.208,0.322,0.315,0.637,-0.030,79.3,21,CF
9,이창진,105,293,289,249,35,52,8,1,3,71,33,5,0,36,1,0,54,10,4,3,0.209,0.308,0.285,0.593,-0.051,62.6,21,CF
10,김태진,99,414,408,381,43,105,12,5,1,130,36,8,5,23,0,1,64,7,6,4,0.276,0.314,0.341,0.655,-0.034,76.0,21,3B
11,이우성,65,100,99,85,12,17,5,0,0,22,4,2,1,13,0,0,17,2,1,1,0.200,0.303,0.259,0.562,-0.031,78.2,21,RF
12,터커,127,539,539,468,42,111,24,1,9,164,59,0,0,61,8,1,66,12,0,2,0.237,0.334,0.350,0.684,-0.019,88.1,21,LF
13,이진영,17,47,47,40,8,8,2,1,2,18,5,1,0,3,4,0,22,0,0,0,0.200,0.319,0.450,0.769,-0.026,82.6,21,RF
14,박정우,32,61,60,48,3,9,1,0,0,10,4,0,2,10,2,0,8,2,1,0,0.188,0.350,0.208,0.558,-0.043,69.3,21,CF
15,최정민,39,19,19,15,5,5,0,0,0,5,1,2,3,3,1,0,7,1,0,0,0.333,0.474,0.333,0.807,0.035,131.7,21,CF
16,이정훈,41,151,151,129,14,32,6,0,2,44,14,0,0,19,3,0,33,3,0,0,0.248,0.358,0.341,0.699,-0.011,94.6,21,C
17,최정용,53,65,62,52,7,10,1,0,0,11,2,2,0,9,0,0,16,1,3,1,0.192,0.306,0.212,0.518,-0.080,41.4,21,2B
