Rank,Name,WAR,BT,SB,BR,Def,Rep-Wins,Pos-Wins,GS,GR,GS,GR,GS,GR,Season,Position
40,유승철,-0.09,0.00,0.00,0.00,0.00,0.00,0.00,,-0.12,,0.02,,-0.09,19,P
41,최정민,-0.12,-0.19,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19,2B
42,박정수,-0.15,0.00,0.00,0.00,0.00,0.00,0.00,,-0.19,,0.02,,-0.15,19,P
43,강이준,-0.16,0.00,0.00,0.00,0.00,0.00,0.00,-0.31,,0.10,,-0.16,,19,P
44,유재신,-0.17,-0.14,-0.05,-0.03,-0.20,0.03,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,19,LF
45,문선재,-0.17,-0.21,-0.01,0.08,-0.31,0.03,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,19,LF
46,류승현,-0.19,-0.56,-0.02,0.00,-0.25,0.07,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,19,1B
47,장지수,-0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.31,0.00,0.08,0.00,-0.19,19,P
48,황대인,-0.21,-0.18,0.00,-0.09,-0.08,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,19,1B
49,이준영,-0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.22,-0.85,0.07,0.28,0.30,-0.51,19,P
50,이정훈,-0.23,-0.09,0.00,0.00,-0.16,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,19,C
1,브룩스,7.93,0.00,0.00,0.00,0.00,0.00,0.00,5.44,0.00,2.84,0.00,7.93,0.00,20,P
2,최형우,6.59,5.02,0.00,-0.06,-0.05,0.23,-1.26,0.00,0.00,0.00,0.00,0.00,0.00,20,LF
3,양현종,4.87,0.00,0.00,0.00,0.00,0.00,0.00,2.03,0.00,2.93,0.00,4.87,0.00,20,P
4,가뇽,4.68,0.00,0.00,0.00,0.00,0.00,0.00,2.05,,2.73,,4.68,,20,P
5,터커,3.46,3.36,-0.07,-0.05,-2.20,0.24,-0.56,0.00,0.00,0.00,0.00,0.00,0.00,20,RF
6,임기영,2.99,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.00,2.13,0.00,2.99,0.00,20,P
7,박준표,2.55,0.00,0.00,0.00,0.00,0.00,0.00,,2.13,,0.47,,2.55,20,P
